"","range","row","year_site.UID","plot_grouped_global","UID","year","value","time_since_sowing","genotype.id","date","plot_grouped","Filename","Location","platform","avg_Temperature_56","avg_Temperature_28","avg_precipitation_56","avg_precipitation_28","avg_radiation_28","avg_photothermal_28","avg_vpd_28","avg_humidity_28","avg_Temperature_14","avg_precipitation_14","avg_radiation_14","avg_photothermal_14","avg_humidity_14","avg_vpd_14","Row_per_plot"
"1",1,1,"DSSB001","DSSB001_1_1","DSSB0010001","2019",0.398561451095678,61,"10056",2019-07-01,"1",NA,"Delley","UAV",904.908333333333,545.0875,189.2,108.4,6954.41666666667,159353.458333333,19.5056938706023,2116.33333333333,318.875,2.19999999999999,3920,100633.495833333,1034.29166666667,12.2629412757335,3
"2",1,1,"DSSB001","DSSB001_1_1","DSSB0010001","2019",0.0359942376105464,37,"10056",2019-06-07,"1",NA,"Delley","UAV",665.445833333333,391.216666666667,118.1,41.4,6402,107761.85,13.8390749391733,2071.16666666667,226.820833333333,23.6,3342.95833333334,65318.4041666667,1045,8.17975464656106,3
"3",1,1,"DSSB001","DSSB001_1_1","DSSB0010001","2019",0.0981827653552444,49,"10056",2019-06-19,"1",NA,"Delley","UAV",725.258333333333,456.791666666667,220.8,127.6,6688,130277.129166667,15.7849148637517,2113.04166666667,225.495833333333,106.2,3024.875,58397.7333333333,1097.04166666667,6.90324549568972,3
"4",1,1,"DSSB001","DSSB001_1_1","DSSB0010001","2019",0.222987785869439,55,"10056",2019-06-25,"1",NA,"Delley","UAV",795.783333333333,489.433333333333,197.6,109.8,6789.08333333334,139869.416666667,16.2909590560258,2140.54166666667,265.308333333333,39,3648.625,78371.3083333333,1088.33333333333,8.25948069659917,3
"5",1,1,"DSSB001","DSSB001_1_1","DSSB0010001","2019",0.923918060191605,86,"10056",2019-07-26,"1",NA,"Delley","UAV",1145.9125,618.820833333333,167.8,59.4,7468.04166666667,187652.033333333,30.3469382840634,1812.16666666667,315.420833333334,44.6,3853.54166666667,99039.6583333334,860,17.3013928421359,3
"6",1,1,"DSSB001","DSSB001_1_1","DSSB0010001","2019",0.551611359417543,64,"10056",2019-07-04,"1",NA,"Delley","UAV",945.1625,556.320833333333,149.8,106.4,7040.91666666667,162672.316666667,20.1040389089289,2102.625,324.995833333333,0.800000000000011,3900.66666666667,101489.216666667,1002.625,13.1520299233324,3
"7",1,1,"DSSB001","DSSB001_1_1","DSSB0010001","2019",0.795714452041454,71,"10056",2019-07-11,"1",NA,"Delley","UAV",1015.17083333333,595.5125,156.8,52.6,7376.79166666667,178220.908333333,22.6500375955088,2040.625,309.075,14.8,3721.25,92684.7958333333,945.5,13.5331212265696,3
"8",1,1,"DSSB001","DSSB001_1_1","DSSB0010001","2019",0.874257289415302,78,"10056",2019-07-18,"1",NA,"Delley","UAV",1062.30416666667,602.8,146.4,17.2,7444.08333333333,182129.4375,25.4772909369598,1934.45833333333,277.804166666667,16.4,3543.41666666666,80640.2208333333,931.833333333334,12.3252610136274,3
"9",1,1,"DSSB001","DSSB001_1_1","DSSB0010001","2019",0.955152440022406,94,"10056",2019-08-03,"1",NA,"Delley","UAV",1155.16666666667,586.4125,208.4,89.4,7039.58333333333,170097.958333333,27.0113347441315,1882.67752989934,306.1125,85.6,3415.125,87089.55,990.385863232674,13.4419737723638,3
"10",1,1,"DSSB001","DSSB001_1_1","DSSB0010001","2019",0.961070407762147,99,"10056",2019-08-08,"1",NA,"Delley","UAV",1187.74166666667,592.229166666667,168.2,115.6,6807.41666666666,166337.091666667,25.8205455194017,1950.46919656601,280.745833333333,112.6,3009.41666666666,70135.25,1096.42752989934,8.64620717028271,3
